Linux 3.2.0-30-virtual (14f431ee-8e10-439a-8a04-f57f71d97a86) 	12/07/2013 	_x86_64_	(4 CPU)

12:37:31 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:51:01 PM     all     23.97      0.00      9.13      0.38      0.00     66.52
12:51:06 PM     all     24.10      0.00     10.14      0.38      0.00     65.38
12:51:11 PM     all     23.66      0.00      9.00      0.22      0.00     67.12
12:51:16 PM     all     23.60      0.00      8.95      0.22      0.00     67.23
12:51:21 PM     all     25.10      0.00      8.58      0.22      0.00     66.10
12:51:26 PM     all     24.91      0.00      9.94      0.27      0.00     64.88
12:51:31 PM     all     22.97      0.00      8.73      0.39      0.00     67.91
12:51:36 PM     all     23.98      0.00      8.66      0.76      0.00     66.59
12:51:41 PM     all     23.17      0.00      9.56      0.33      0.00     66.94
12:51:46 PM     all     22.77      0.00      9.79      1.16      0.00     66.28
12:51:51 PM     all     25.33      0.00      9.19      0.21      0.00     65.26
12:51:56 PM     all     26.24      0.00      9.29      0.44      0.00     64.02
12:52:01 PM     all     25.01      0.00      8.83      0.38      0.00     65.78
12:52:06 PM     all     24.62      0.00      9.77      0.22      0.00     65.39
12:52:11 PM     all     25.13      0.00      9.28      0.43      0.00     65.15
12:52:16 PM     all     23.56      0.00      9.79      0.22      0.00     66.43
12:52:21 PM     all     23.73      0.00      8.76      0.50      0.00     67.02
12:52:26 PM     all     23.95      0.00     10.38      0.27      0.00     65.41
12:52:31 PM     all     25.08      0.00      9.93      0.43      0.00     64.55
12:52:36 PM     all     22.25      0.00      9.15      0.50      0.00     68.10
12:52:41 PM     all     23.44      0.00     10.94      0.27      0.00     65.35
12:52:46 PM     all     24.16      0.00      9.25      0.33      0.00     66.27
12:52:51 PM     all     23.85      0.00      9.28      0.44      0.00     66.43
12:52:56 PM     all     26.26      0.00     10.33      0.32      0.00     63.08
12:53:01 PM     all     25.27      0.00      9.62      0.43      0.00     64.69
12:53:06 PM     all     24.66      0.00      9.91      0.27      0.00     65.16
12:53:11 PM     all     24.15      0.00      9.70      0.32      0.00     65.82
12:53:16 PM     all     24.31      0.00      8.86      0.38      0.00     66.45
12:53:21 PM     all     23.71      0.00      8.64      0.55      0.00     67.09
12:53:26 PM     all     24.19      0.00      8.54      0.44      0.00     66.83
12:53:31 PM     all     24.43      0.00      8.79      0.33      0.00     66.45
12:53:36 PM     all     24.92      0.00      8.92      0.32      0.00     65.84
12:53:41 PM     all     23.53      0.00      9.31      0.71      0.00     66.45
12:53:46 PM     all     24.84      0.00      9.43      0.27      0.00     65.46
12:53:51 PM     all     24.28      0.00      8.50      0.44      0.00     66.78
12:53:56 PM     all     24.18      0.00      9.28      0.27      0.00     66.27
12:54:01 PM     all     22.66      0.00      8.42      0.49      0.00     68.42
12:54:06 PM     all     23.58      0.00      9.02      0.27      0.00     67.13
12:54:11 PM     all     22.41      0.00      9.26      0.55      0.00     67.78
12:54:16 PM     all     19.82      0.00      8.71      0.27      0.00     71.19
12:54:21 PM     all     19.62      0.00      8.22      0.49      0.00     71.67
12:54:26 PM     all     18.45      0.00      7.84      0.28      0.00     73.42
12:54:31 PM     all     18.21      0.00      7.96      0.67      0.00     73.16
12:54:36 PM     all     17.93      0.00      8.42      0.27      0.00     73.37
12:54:41 PM     all     17.37      0.00      8.49      0.22      0.00     73.92
12:54:46 PM     all     18.23      0.00      8.31      0.28      0.00     73.19
12:54:51 PM     all     16.97      0.00      7.47      0.51      0.00     75.06
12:54:56 PM     all     18.98      0.00      8.01      0.28      0.00     72.73
12:55:01 PM     all     15.59      0.00      7.54      0.58      0.00     76.29
12:55:06 PM     all     17.39      0.00      8.12      0.45      0.00     74.03
12:55:11 PM     all     16.58      0.00      8.77      0.45      0.00     74.20
12:55:16 PM     all     17.55      0.00      6.89      0.40      0.00     75.16
12:55:21 PM     all     17.67      0.00      9.63      0.60      0.00     72.10
12:55:26 PM     all     17.77      0.00      8.72      0.27      0.00     73.24
12:55:31 PM     all     17.47      0.00      8.82      0.28      0.00     73.43
12:55:36 PM     all     17.02      0.00      8.09      0.39      0.00     74.50
12:55:41 PM     all     15.90      0.00      8.09      0.17      0.00     75.84
12:55:46 PM     all     17.04      0.00      8.04      0.34      0.00     74.58
12:55:51 PM     all     16.85      0.00      7.76      0.35      0.00     75.04
12:55:56 PM     all     18.99      0.00      8.64      0.28      0.00     72.09
12:56:01 PM     all     17.78      0.00      7.35      0.56      0.00     74.31
12:56:06 PM     all     17.13      0.00      8.03      0.17      0.00     74.66
12:56:11 PM     all     15.74      0.00      8.21      0.46      0.00     75.58
12:56:16 PM     all     16.66      0.00      8.41      0.28      0.00     74.65
12:56:21 PM     all     15.21      0.00      8.17      0.51      0.00     76.11
12:56:26 PM     all     14.77      0.00      7.92      0.28      0.00     77.02
12:56:31 PM     all     14.87      0.00      7.21      0.68      0.00     77.24
12:56:36 PM     all     14.01      0.00      7.91      0.17      0.00     77.91
12:56:41 PM     all     13.29      0.00      7.79      0.23      0.00     78.69
12:56:46 PM     all     13.62      0.00      6.37      0.17      0.00     79.84
12:56:51 PM     all     14.81      0.00      7.74      0.39      0.00     77.05
12:56:56 PM     all     16.86      0.00      8.60      0.56      0.00     73.98
12:57:01 PM     all     15.67      0.00      7.07      0.45      0.00     76.81
12:57:06 PM     all      6.60      0.00      3.01      0.21      0.00     90.17
12:57:11 PM     all      2.98      0.00      0.61      1.31      0.00     95.11
12:57:16 PM     all      2.92      0.00      0.45      0.20      0.00     96.42
